agency,debtcode,zip,city,state,offset_count,offset_amt,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,15214,PITTSBURGH,PA,1,132,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,15241,PITTSBURGH,PA,1,305,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,17013,CARLISLE,PA,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,17046,LEBANON,PA,1,13,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,17201,CHAMBERSBURG,PA,1,114,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19054,LEVITTOWN,PA,1,93,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19083,HAVERTOWN,PA,1,89,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19085,VILLANOVA,PA,1,38,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19125,PHILADELPHIA,PA,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19128,PHILADELPHIA,PA,1,28,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19132,PHILADELPHIA,PA,1,93,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,19143,PHILADELPHIA,PA,1,167,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,20009,WASHINGTON,DC,1,249.03,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,20020,WASHINGTON,DC,1,8.04,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,20059,WASHINGTON,DC,1,10,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,20878,GAITHERSBURG,MD,1,9.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,21047,FALLSTON,MD,1,42.86,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,21061,GLEN BURNIE,MD,1,44,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,21211,BALTIMORE,MD,2,467,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,22312,ALEXANDRIA,VA,1,608,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,23454,VIRGINIA BEACH,VA,1,178,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,23517,NORFOLK,VA,1,182,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,26505,MORGANTOWN,WV,1,189,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27127,WINSTON SALEM,NC,1,93,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27360,THOMASVILLE,NC,1,131,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27403,GREENSBORO,NC,1,70.28,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27513,CARY,NC,2,20.82,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27545,KNIGHTDALE,NC,1,92,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27560,MORRISVILLE,NC,1,278.48,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27603,RALEIGH,NC,1,61,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27701,DURHAM,NC,1,364,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,27703,DURHAM,NC,2,390.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28027,CONCORD,NC,1,86.61,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28110,MONROE,NC,1,109,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28203,CHARLOTTE,NC,1,505,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28204,CHARLOTTE,NC,1,165,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28205,CHARLOTTE,NC,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28210,CHARLOTTE,NC,1,111,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28213,CHARLOTTE,NC,2,380.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28214,CHARLOTTE,NC,2,163.83,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28262,CHARLOTTE,NC,1,95.37,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28269,CHARLOTTE,NC,1,54,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28270,CHARLOTTE,NC,1,249,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,28278,CHARLOTTE,NC,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29032,CASSATT,SC,1,353.25,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29223,COLUMBIA,SC,1,216,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29403,CHARLESTON,SC,1,29,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29440,GEORGETOWN,SC,1,658,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29577,MYRTLE BEACH,SC,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29650,GREER,SC,1,3.47,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29732,ROCK HILL,SC,1,324,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29906,BEAUFORT,SC,1,287,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,29910,BLUFFTON,SC,1,162,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30016,COVINGTON,GA,2,310,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30019,DACULA,GA,1,416.57,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30022,ALPHARETTA,GA,2,73.2,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30024,SUWANEE,GA,1,12.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30032,DECATUR,GA,1,439.2,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30047,LILBURN,GA,1,10.75,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30066,MARIETTA,GA,2,146.34,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30067,MARIETTA,GA,1,134.8,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30076,ROSWELL,GA,1,86,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30079,SCOTTDALE,GA,1,4.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30080,SMYRNA,GA,2,107,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30083,STONE MOUNTAIN,GA,1,4.05,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30088,STONE MOUNTAIN,GA,1,61,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30094,CONYERS,GA,1,76.43,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30096,DULUTH,GA,1,13.76,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30106,AUSTELL,GA,1,252.68,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30114,CANTON,GA,1,0.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30122,LITHIA SPRINGS,GA,2,1817.93,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30127,POWDER SPRINGS,GA,2,425.74,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30135,DOUGLASVILLE,GA,1,4.38,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30144,KENNESAW,GA,2,49,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30152,KENNESAW,GA,2,674,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30157,DALLAS,GA,1,11.37,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30168,AUSTELL,GA,1,366,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,30213,FAIRBURN,GA,2,1081.78,,,,,,,,,,,,,,,,,,,,
